Datum,Teplota,Vitr,Dest
2026-03-28 16:00:00+00:00,9.830303,29.238323,0.0
2026-03-28 17:00:00+00:00,9.783333,28.190207,0.0
2026-03-28 18:00:00+00:00,9.327272,27.020737,0.0
2026-03-28 19:00:00+00:00,8.765152,25.893648,0.0
2026-03-28 20:00:00+00:00,8.15,24.109873,0.0
2026-03-28 21:00:00+00:00,7.428788,22.402943,0.0
2026-03-28 22:00:00+00:00,6.810606,21.284859,0.0
2026-03-28 23:00:00+00:00,6.245455,21.232815,0.0
2026-03-29 00:00:00+00:00,5.730303,21.728384,0.0
2026-03-29 01:00:00+00:00,5.318182,22.407272,0.0
2026-03-29 02:00:00+00:00,4.9560604,23.043814,0.0
2026-03-29 03:00:00+00:00,4.6969695,23.75179,0.0
2026-03-29 04:00:00+00:00,4.281818,24.312828,0.0
2026-03-29 05:00:00+00:00,3.610606,24.38655,0.0
2026-03-29 06:00:00+00:00,2.8363638,24.644583,0.0
2026-03-29 07:00:00+00:00,2.4212122,24.851665,0.0
2026-03-29 08:00:00+00:00,2.6742425,25.479794,0.0
2026-03-29 09:00:00+00:00,3.339394,26.455885,0.0
2026-03-29 10:00:00+00:00,4.160606,27.425406,0.0
2026-03-29 11:00:00+00:00,5.1878786,28.04711,0.0
2026-03-29 12:00:00+00:00,6.268182,28.906197,0.0
2026-03-29 13:00:00+00:00,7.0393934,29.162394,0.0
2026-03-29 14:00:00+00:00,7.1954546,28.861132,0.0
2026-03-29 15:00:00+00:00,6.939394,28.153309,0.0
2026-03-29 16:00:00+00:00,6.583333,26.593256,0.0
2026-03-29 17:00:00+00:00,6.1242423,24.097063,0.0
2026-03-29 18:00:00+00:00,5.565151,21.45062,0.0
2026-03-29 19:00:00+00:00,5.056061,18.6392,0.0
2026-03-29 20:00:00+00:00,4.80303,15.10394,0.0
2026-03-29 21:00:00+00:00,4.6,10.665793,0.0
2026-03-29 22:00:00+00:00,4.39697,6.903107,0.0
2026-03-29 23:00:00+00:00,4.0939393,4.182119,0.0
2026-03-30 00:00:00+00:00,3.7378788,2.7580125,0.0
2026-03-30 01:00:00+00:00,3.3848486,2.4747598,0.0
2026-03-30 02:00:00+00:00,2.931818,3.3023984,0.0
2026-03-30 03:00:00+00:00,2.378788,4.780783,0.0
2026-03-30 04:00:00+00:00,2.0757575,6.628535,0.0
2026-03-30 05:00:00+00:00,1.9806818,7.6651015,0.0
2026-03-30 06:00:00+00:00,1.9325757,8.504693,0.0
2026-03-30 07:00:00+00:00,1.8087121,8.860098,0.0
2026-03-30 08:00:00+00:00,3.5166664,19.493301,0.0
2026-03-30 09:00:00+00:00,4.228788,25.722034,0.0
2026-03-30 10:00:00+00:00,4.6348486,30.409311,0.0
2026-03-30 11:00:00+00:00,4.6348486,31.952135,1.1
2026-03-30 12:00:00+00:00,4.431818,31.867283,1.1
2026-03-30 13:00:00+00:00,4.331818,30.777376,1.1
2026-03-30 14:00:00+00:00,4.537879,29.233543,1.0
2026-03-30 15:00:00+00:00,4.8469696,27.112804,1.0
2026-03-30 16:00:00+00:00,4.95,24.46484,1.0
2026-03-30 17:00:00+00:00,4.8469696,20.821774,0.2
2026-03-30 18:00:00+00:00,4.540909,16.769154,0.2
